"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","success","stimulus","key_press","button_pressed","type","corrResp","givenResp","acc"
"[{""page_index"":0,""viewing_time"":3936},{""page_index"":1,""viewing_time"":1165}]","5103","instructions","0","5140","0.0-0.0","","","","","","","",""
"","","fullscreen","1","7394","0.0-1.0","true","","","","","","",""
"","null","html-keyboard-response","2","7403","0.0-2.0","","","null","","","","",""
"","290","html-button-response","3","7694","0.0-3.0-0.0","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>वाषमरिय<br><br></div>","","0","nonword","z","z","1"
"","111","html-button-response","4","7806","0.0-3.0-0.1","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>अनेजमीं<br><br></div>","","1","nonword","z","m","0"
"","202","html-button-response","5","8010","0.0-3.0-0.2","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>सरौता<br><br></div>","","0","word","m","z","0"
"","72","html-button-response","6","8084","0.0-3.0-0.3","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>गेंद<br><br></div>","","1","word","m","m","1"
"","215","html-button-response","7","8302","0.0-3.0-0.4","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>वजह<br><br></div>","","0","word","m","z","0"
"","1225","html-button-response","8","9529","0.0-3.0-0.5","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>सर्वत्र<br><br></div>","","1","word","m","m","1"
"","525","html-button-response","9","10055","0.0-3.0-0.6","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>﻿हीब्त<br><br></div>","","1","nonword","z","m","0"
"","37","html-button-response","10","10093","0.0-3.0-0.7","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>तालिनी<br><br></div>","","1","nonword","z","m","0"
"","38","html-button-response","11","10133","0.0-3.0-0.8","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>अजवाइन<br><br></div>","","1","word","m","m","1"
"","33","html-button-response","12","10168","0.0-3.0-0.9","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>परिष्त<br><br></div>","","1","nonword","z","m","0"
"","35","html-button-response","13","10204","0.0-3.0-0.10","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>आँगन<br><br></div>","","1","word","m","m","1"
"","37","html-button-response","14","10242","0.0-3.0-0.11","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>खनिज<br><br></div>","","1","word","m","m","1"
"","36","html-button-response","15","10280","0.0-3.0-0.12","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>अधिदेत<br><br></div>","","1","nonword","z","m","0"
"","36","html-button-response","16","10318","0.0-3.0-0.13","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>निंध<br><br></div>","","1","nonword","z","m","0"
"","35","html-button-response","17","10354","0.0-3.0-0.14","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>नीर<br><br></div>","","1","word","m","m","1"
"","36","html-button-response","18","10391","0.0-3.0-0.15","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>विशाल<br><br></div>","","1","word","m","m","1"
"","38","html-button-response","19","10429","0.0-3.0-0.16","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>मौसम<br><br></div>","","1","word","m","m","1"
"","35","html-button-response","20","10467","0.0-3.0-0.17","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>रतालू<br><br></div>","","1","word","m","m","1"
"","34","html-button-response","21","10502","0.0-3.0-0.18","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>अधिभक<br><br></div>","","1","nonword","z","m","0"
"","37","html-button-response","22","10540","0.0-3.0-0.19","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>अंततः<br><br></div>","","1","word","m","m","1"
"","36","html-button-response","23","10577","0.0-3.0-0.20","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>विभोणु<br><br></div>","","1","nonword","z","m","0"
"","37","html-button-response","24","10615","0.0-3.0-0.21","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>व्युत्पत्ति<br><br></div>","","1","word","m","m","1"
"","36","html-button-response","25","10654","0.0-3.0-0.22","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>प्रचाहित<br><br></div>","","1","nonword","z","m","0"
"","34","html-button-response","26","10691","0.0-3.0-0.23","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>टिंर<br><br></div>","","1","nonword","z","m","0"
"","36","html-button-response","27","10728","0.0-3.0-0.24","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>पगडंडी<br><br></div>","","1","word","m","m","1"
"","35","html-button-response","28","10764","0.0-3.0-0.25","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>टूर्ख<br><br></div>","","1","nonword","z","m","0"
"","38","html-button-response","29","10803","0.0-3.0-0.26","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>अवसाद<br><br></div>","","1","word","m","m","1"
"","35","html-button-response","30","10841","0.0-3.0-0.27","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>बाह्य<br><br></div>","","1","word","m","m","1"
"","33","html-button-response","31","10876","0.0-3.0-0.28","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>द्वार<br><br></div>","","1","word","m","m","1"
"","39","html-button-response","32","10918","0.0-3.0-0.29","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>फिहमना<br><br></div>","","1","nonword","z","m","0"
"","33","html-button-response","33","10953","0.0-3.0-0.30","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>शोषित<br><br></div>","","1","word","m","m","1"
"","33","html-button-response","34","10989","0.0-3.0-0.31","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>सोम<br><br></div>","","1","word","m","m","1"
"","37","html-button-response","35","11027","0.0-3.0-0.32","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>संदूषण<br><br></div>","","1","word","m","m","1"
"","36","html-button-response","36","11066","0.0-3.0-0.33","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>दशक<br><br></div>","","1","word","m","m","1"
"","35","html-button-response","37","11104","0.0-3.0-0.34","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>समायावसार<br><br></div>","","1","nonword","z","m","0"
